s,carat,cut,color,clarity,depth,table,price,x,y,z
21837,1.16,Ideal,G,IF,62,57,9901,6.7,6.73,4.16
21838,1.1,Very Good,D,VS1,59.7,58,9901,6.69,6.72,4
21839,1.7,Ideal,I,SI1,62.9,57,9901,7.57,7.5,4.74
21840,1.6,Ideal,I,SI1,62.4,56,9901,7.52,7.48,4.68
21841,1.7,Premium,J,VS2,61,59,9901,7.66,7.62,4.66
21842,1.04,Ideal,E,VVS2,61,57,9901,6.61,6.57,4.02
21843,1,Premium,F,VVS1,61,60,9901,6.43,6.39,3.91
21844,1.5,Very Good,F,SI1,62.8,56,9904,7.26,7.33,4.58
21845,1.2,Very Good,E,VS1,59.4,56,9904,6.94,7,4.14
21846,2.04,Premium,G,I1,62.4,58,9905,8.17,8.08,5.07
21847,1.26,Ideal,G,VS1,61.9,55,9907,6.96,6.91,4.29
21848,1.01,Very Good,F,VVS1,62.1,58,9908,6.37,6.41,3.97
21849,1.5,Good,I,VVS2,63.3,58,9909,7.24,7.27,4.59
21850,1.56,Premium,E,SI2,62.4,60,9909,7.36,7.41,4.61
21851,1.3,Premium,F,VS2,60.4,59,9909,7.06,7.12,4.28
21852,1.57,Ideal,I,VS2,61.5,56,9912,7.49,7.56,4.63
21853,1.2,Ideal,D,VS2,62.3,56,9912,6.81,6.78,4.23
21854,1.24,Premium,F,VS1,60.1,59,9916,7.02,6.99,4.21
21855,1.24,Premium,D,VS2,59.3,58,9916,7.09,7.03,4.19
21856,1.19,Ideal,G,VS1,62.4,54,9918,6.78,6.81,4.24
21857,1,Premium,D,VVS2,63,59,9918,6.38,6.35,4.01
21858,1,Premium,D,VVS2,59.9,61,9918,6.5,6.42,3.87
21859,1.22,Ideal,F,VS1,62.3,57,9920,6.79,6.83,4.24
21860,1.23,Ideal,G,VVS2,62.2,56.1,9921,6.8,6.87,4.25
21861,1.23,Ideal,G,VVS2,62.4,55,9921,6.8,6.88,4.27
21862,1.59,Very Good,I,SI1,62.4,56,9925,7.46,7.48,4.66
21863,3.01,Premium,F,I1,62.2,56,9925,9.24,9.13,5.73
21864,1.5,Ideal,I,SI1,61.5,57,9926,7.4,7.35,4.54
21865,1.54,Premium,F,SI1,62.8,58,9926,7.35,7.32,4.61
21866,1.01,Very Good,E,VVS2,61.7,60,9930,6.32,6.35,3.91
21867,1.24,Premium,F,VS1,58,58,9930,7.16,7.02,4.11
21868,1.11,Ideal,G,IF,61.9,55,9931,6.64,6.68,4.12
21869,1.03,Ideal,E,VVS2,61.7,54,9932,6.49,6.52,4.02
21870,1.25,Ideal,D,VS2,62.6,56,9933,6.84,6.87,4.29
21871,1.17,Premium,D,VS1,61.7,59,9934,6.72,6.77,4.16
21872,1.2,Ideal,D,VS2,61.4,56,9935,6.88,6.79,4.2
21873,1.51,Very Good,E,SI2,62.3,62,9936,7.15,7.26,4.49
21874,1.7,Premium,J,VS2,62.8,59,9939,7.6,7.55,4.76
21875,1.21,Very Good,G,VVS2,59.3,58,9942,7.01,7.05,4.17
21876,1.54,Ideal,I,SI1,63.5,61,9942,7.29,7.33,4.64
21877,1.6,Very Good,H,SI1,63.2,55,9946,7.46,7.41,4.7
21878,1.5,Good,H,SI1,64.3,60,9946,7.23,7.14,4.62
21879,1.52,Ideal,F,SI2,61.9,57,9948,7.33,7.37,4.55
21880,1.52,Premium,G,SI1,61.6,57,9952,7.4,7.33,4.54
21881,1.5,Premium,G,SI1,62.9,55,9954,7.28,7.24,4.57
21882,1.21,Ideal,G,VVS2,59.4,59,9954,6.92,7.01,4.14
21883,1.5,Premium,G,SI1,60,61,9954,7.48,7.43,4.47
21884,1.5,Premium,G,SI1,62.9,56,9954,7.34,7.22,4.58
21885,1.22,Ideal,G,VS2,60.1,57,9954,6.96,7.01,4.2
21886,1.5,Good,G,SI1,59.7,65,9954,7.46,7.34,4.42
21887,1.01,Very Good,E,VS1,63.1,56,9955,6.44,6.39,4.05
21888,1.87,Ideal,J,SI1,62.3,57,9955,7.82,7.88,4.89
21889,1.52,Premium,D,SI2,59.1,58,9959,7.48,7.45,4.41
21890,1.5,Very Good,D,SI2,59.8,63,9959,7.44,7.38,4.43
21891,1.56,Premium,I,VS1,61.7,59,9959,7.46,7.41,4.59
21892,1.52,Premium,H,SI1,60.1,60,9959,7.45,7.39,4.46
21893,1.5,Very Good,I,VS2,63.8,59,9960,7.29,7.23,4.63
21894,1.61,Premium,I,VS1,62.2,58,9961,7.46,7.55,4.67
21895,1.61,Ideal,E,SI2,61.6,56,9961,7.54,7.62,4.67
21896,1.01,Very Good,D,VVS2,60.2,58,9965,6.51,6.57,3.94
21897,1.01,Very Good,F,IF,59.6,62,9965,6.47,6.56,3.88
21898,1.15,Ideal,E,VS2,61.4,57,9967,6.73,6.76,4.14
21899,2.06,Premium,F,I1,58.7,61,9967,8.33,8.31,4.88
21900,1.2,Very Good,G,VVS1,61.8,55,9968,6.79,6.83,4.21
21901,1.65,Premium,G,SI2,62.2,58,9970,7.62,7.55,4.72
21902,1.53,Very Good,G,SI1,62.5,56,9971,7.32,7.36,4.59
21903,1.01,Very Good,F,IF,63.5,59,9972,6.29,6.41,4.03
21904,1.59,Ideal,I,VS2,61.1,55,9972,7.54,7.48,4.59
21905,1.59,Premium,F,SI2,60.3,59,9972,7.6,7.55,4.57
21906,1.52,Very Good,H,SI1,62.5,59,9973,7.26,7.37,4.57
21907,1.58,Ideal,I,SI2,60.9,59,9973,7.48,7.55,4.58
21908,1.71,Very Good,H,VS1,63.5,59,9974,7.59,7.52,4.8
21909,1.76,Ideal,H,SI1,62.2,56,9974,7.73,7.7,4.8
21910,1.51,Very Good,I,VS1,60.7,60,9979,7.43,7.49,4.53
21911,1.8,Good,I,SI2,63.2,58,9979,7.66,7.75,4.87
21912,1.32,Premium,G,VS1,60.6,57,9979,7.14,7.09,4.31
21913,1.32,Ideal,G,VS1,62.6,56,9979,7.05,7,4.4
21914,1.02,Premium,F,VVS1,60.8,58,9980,6.56,6.46,3.96
21915,1.2,Very Good,G,IF,59.4,61,9987,6.92,6.95,4.12
21916,1.5,Very Good,H,SI1,61,55,9987,7.35,7.44,4.51
21917,1.33,Premium,G,VS1,60.2,60,9992,7.2,7.12,4.31
21918,1.25,Ideal,F,VS1,61.7,56,9996,6.93,6.92,4.27
21919,1.5,Ideal,F,SI2,62.9,55,9996,7.28,7.26,4.57
21920,1.5,Very Good,G,SI1,62.8,57,9996,7.19,7.3,4.55
21921,1.7,Premium,I,VS2,62.5,58,9996,7.52,7.45,4.68
21922,1.7,Fair,F,SI2,64.5,57,9996,7.55,7.51,4.86
21923,1.06,Very Good,E,VVS2,61.8,58,9997,6.52,6.56,4.04
21924,1.54,Ideal,I,VS2,61.9,55.8,9998,7.38,7.43,4.58
21925,1.23,Very Good,G,VVS2,62.2,57,9999,6.8,6.87,4.25
21926,1.26,Ideal,F,VS2,61.2,57,9999,6.96,6.99,4.27
21927,2,Good,G,SI2,64.2,60,9999,7.89,7.81,5.04
21928,1.51,Good,H,VS2,64,59,10000,7.25,7.19,4.62
21929,1.7,Ideal,J,VS2,60.5,58,10002,7.73,7.74,4.68
21930,1.03,Ideal,E,VVS2,60.6,59,10003,6.5,6.53,3.95
21931,1.23,Very Good,G,VVS2,60.6,55,10004,6.93,7.02,4.23
21932,1.25,Ideal,F,VS2,61.6,55,10006,6.93,6.96,4.28
21933,2.01,Very Good,I,SI2,61.4,63,10009,8.19,7.96,4.96
21934,1.21,Very Good,F,VS1,62.3,58,10009,6.76,6.85,4.24
21935,1.51,Premium,I,VS2,59.9,60,10010,7.42,7.36,4.43
21936,1.01,Fair,D,SI2,64.6,58,10011,6.25,6.2,4.02
21937,1.05,Ideal,F,VVS2,60.5,55,10011,6.67,6.58,4.01
21938,1.6,Ideal,J,VS1,62,53,10011,7.57,7.56,4.69
21939,1.51,Premium,H,SI1,61.2,60,10012,7.46,7.37,4.54
